Semana;Casos_Prováveis
Semana 01;975
Semana 02;1316
Semana 03;1934
Semana 04;2963
Semana 05;4106
Semana 06;6299
Semana 07;9467
Semana 08;12615
Semana 09;16158
Semana 10;21710
Semana 11;27824
Semana 12;41992
Semana 13;42636
Semana 14;44427
Semana 15;52529
Semana 16;51141
Semana 17;46778
Semana 18;49896
Semana 19;54582
Semana 20;49997
Semana 21;35973
Semana 22;22442
Semana 23;12795
Semana 24;11791
Semana 25;9830
Semana 26;6361
Semana 27;3593
Semana 28;2247
Semana 29;1627
Semana 30;1381
Semana 31;934
Semana 32;760
Semana 33;601
Semana 34;556
Semana 35;488
Semana 36;496
Semana 37;489
Semana 38;437
Semana 39;365
Semana 40;316
Semana 41;288
Semana 42;296
Semana 43;275
Semana 44;259
Semana 45;253
Semana 46;276
Semana 47;248
Semana 48;228
Semana 49;304
Semana 50;299
Semana 51;236
Semana 52;124
